iter	RMSE
0	44.29563431
1	42.26001512
2	40.32378463
3	38.58060219
4	36.93525281
5	35.30795658
6	33.75413997
7	32.34038973
8	31.04424736
9	29.64970412
10	28.28193539
11	27.07260685
12	25.89571676
13	24.79873443
14	23.71125075
15	22.69381671
16	21.75212808
17	20.8603005
18	20.01107278
19	19.2024032
20	18.42288045
21	17.73160939
22	16.97976899
23	16.32393569
24	15.66307339
25	14.98653902
26	14.36914778
27	13.80034727
28	13.21703739
29	12.66911398
30	12.21569911
31	11.74201478
32	11.30696558
33	10.88373228
34	10.4891822
35	10.07520268
36	9.694818618
37	9.357330219
38	9.05740774
39	8.741027864
40	8.45193582
41	8.175959703
42	7.889769087
43	7.633669121
44	7.394597559
45	7.17204275
46	6.981261909
47	6.759439663
48	6.555928638
49	6.370864521
50	6.183458301
51	6.015539124
52	5.868018826
53	5.725112676
54	5.596102707
55	5.468460257
56	5.336191061
57	5.21342398
58	5.108759412
59	5.019447366
60	4.91967561
61	4.835493965
62	4.74982518
63	4.670678089
64	4.596955607
65	4.527396193
66	4.459365114
67	4.407324045
68	4.343358035
69	4.280150302
70	4.226242454
71	4.169104044
72	4.120722645
73	4.07267993
74	4.03081226
75	3.986333287
76	3.943520979
77	3.907510877
78	3.874289615
79	3.834962125
80	3.803870354
81	3.77277654
82	3.741614574
83	3.712062475
84	3.68863795
85	3.663137355
86	3.636038554
87	3.613331366
88	3.596300201
89	3.577476277
90	3.556755681
91	3.55412995
92	3.535384747
93	3.517087945
94	3.494924728
95	3.478145937
96	3.463039503
97	3.46073319
98	3.443944004
99	3.428772907
100	3.419264015
101	3.404318132
102	3.385265411
103	3.383087805
104	3.365509107
105	3.351041763
106	3.335844256
107	3.325804665
108	3.318386955
109	3.301350024
110	3.299625788
111	3.297944991
112	3.285294062
113	3.271943415
114	3.259051488
115	3.257518083
116	3.244019994
117	3.234821727
118	3.233392905
119	3.223428586
120	3.212099207
121	3.210768219
122	3.196663233
123	3.186582829
124	3.176692714
125	3.171823138
126	3.163913089
127	3.148587914
128	3.136485557
129	3.129594578
130	3.127996818
131	3.124426762
132	3.115435806
133	3.114431853
134	3.104098442
135	3.096827266
136	3.090033597
137	3.084803404
138	3.078721129
139	3.071168311
140	3.066150201
141	3.05900211
142	3.05819322
143	3.047804789
144	3.039584932
145	3.029555528
146	3.024040248
147	3.015742698
148	3.015040841
149	3.007984478
150	3.007240787
151	3.000355701
152	2.994439965
153	2.993795134
154	2.990226887
155	2.989605308
156	2.984989189
157	2.978679657
158	2.977136577
159	2.97310716
160	2.972569906
161	2.964828736
162	2.963926779
163	2.957042207
164	2.953139659
165	2.948627843
166	2.943706143
167	2.935739192
168	2.930369478
169	2.925211134
170	2.922373792
171	2.915498899
172	2.909710467
173	2.907580981
174	2.905273466
175	2.900794553
176	2.897123045
177	2.892658846
178	2.886333085
179	2.882839566
180	2.87650648
181	2.87200245
182	2.866710464
183	2.860719358
184	2.857659862
185	2.852684337
186	2.84890373
187	2.843774597
188	2.839052711
189	2.831450043
190	2.828132635
191	2.823384338
192	2.820249675
193	2.814847327
194	2.811127685
195	2.806672807
196	2.80406899
197	2.801417175
198	2.798346008
199	2.792195639
200	2.788399385
201	2.785538063
202	2.781462569
203	2.777557092
204	2.772326643
205	2.767882195
206	2.764181502
207	2.761842572
208	2.757931432
209	2.753685547
210	2.751773369
211	2.748105008
212	2.744483391
213	2.741652745
214	2.738393427
215	2.735944011
216	2.733659735
217	2.730277939
218	2.727246168
219	2.724388691
220	2.721653969
221	2.720107329
222	2.717975144
223	2.714804534
