iter	Passed	Remaining
0	7	7153
1	16	8300
2	24	8186
3	31	7866
4	38	7696
5	49	8137
6	58	8366
7	73	9096
8	86	9494
9	95	9459
10	100	9065
11	110	9126
12	115	8752
13	121	8565
14	136	8941
15	144	8867
16	151	8775
17	161	8830
18	171	8849
19	180	8840
20	202	9432
21	210	9370
22	224	9526
23	230	9393
24	239	9344
25	245	9179
26	249	8989
27	256	8918
28	263	8827
29	272	8821
30	288	9007
31	297	8985
32	303	8898
33	310	8829
34	319	8805
35	327	8779
36	332	8642
37	337	8550
38	344	8481
39	349	8383
40	353	8258
41	356	8128
42	361	8048
43	367	7990
44	372	7904
45	378	7848
46	383	7769
47	386	7671
48	396	7695
49	400	7601
50	407	7589
51	419	7642
52	424	7586
53	432	7570
54	438	7536
55	447	7546
56	456	7556
57	463	7528
58	477	7617
59	487	7635
60	495	7625
61	501	7587
62	507	7541
63	511	7478
64	518	7453
65	527	7461
66	533	7427
67	542	7434
68	548	7406
69	557	7405
70	562	7357
71	569	7337
72	576	7319
73	604	7561
74	608	7499
75	617	7508
76	622	7466
77	626	7411
78	631	7367
79	635	7313
80	639	7253
81	646	7233
82	650	7182
83	654	7133
84	657	7076
85	661	7026
86	665	6982
87	669	6942
88	673	6891
89	679	6872
90	683	6824
91	684	6758
92	693	6761
93	700	6751
94	704	6714
95	708	6672
96	712	6632
97	716	6597
98	720	6560
99	725	6532
100	730	6503
101	735	6478
102	739	6440
103	741	6391
104	749	6390
105	753	6352
106	759	6341
107	764	6316
108	768	6284
109	773	6262
110	775	6213
111	778	6169
112	781	6134
113	787	6118
114	792	6099
115	802	6112
116	805	6079
117	816	6102
118	819	6066
119	826	6059
120	832	6045
121	850	6124
122	861	6141
123	866	6124
124	873	6113
125	882	6122
126	893	6141
127	899	6128
128	905	6111
129	913	6116
130	923	6126
131	933	6135
132	941	6136
133	943	6094
134	954	6114
135	962	6113
136	967	6094
137	974	6087
138	978	6062
139	989	6079
140	995	6063
141	1003	6062
142	1009	6050
143	1017	6048
144	1030	6073
145	1037	6066
146	1046	6070
147	1051	6053
148	1055	6026
149	1065	6037
150	1068	6009
151	1084	6049
152	1090	6036
153	1097	6027
154	1106	6033
155	1114	6030
156	1117	6000
157	1123	5986
158	1131	5983
159	1136	5964
160	1138	5933
161	1143	5914
162	1146	5889
163	1150	5863
164	1157	5855
165	1162	5842
166	1167	5821
167	1172	5807
168	1181	5808
169	1186	5793
170	1196	5802
171	1205	5802
172	1212	5793
173	1219	5790
174	1225	5778
175	1231	5767
176	1235	5744
177	1242	5735
178	1244	5709
179	1250	5698
180	1258	5693
181	1265	5689
182	1272	5683
183	1279	5675
184	1283	5652
185	1288	5640
186	1291	5616
187	1295	5597
188	1300	5579
189	1306	5570
190	1312	5560
191	1318	5548
192	1337	5590
193	1340	5571
194	1348	5566
195	1354	5557
196	1358	5538
197	1362	5517
198	1367	5505
199	1372	5489
200	1379	5483
201	1388	5483
202	1392	5466
203	1395	5446
204	1399	5429
205	1404	5411
206	1407	5391
207	1411	5375
208	1415	5356
209	1419	5339
210	1422	5318
211	1435	5335
212	1442	5329
213	1445	5308
214	1448	5290
215	1452	5272
216	1456	5254
217	1459	5237
218	1463	5217
219	1466	5201
220	1469	5181
221	1473	5164
222	1476	5145
223	1483	5137
224	1496	5154
225	1506	5158
226	1525	5196
227	1537	5205
228	1546	5208
229	1555	5207
230	1566	5214
231	1572	5206
232	1589	5233
233	1602	5244
234	1616	5263
235	1625	5263
236	1629	5246
237	1640	5253
238	1649	5252
